hour,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday
0,46.656688576188635,31.400210132729935,39.11217700003466,36.71203487641775,36.15991110100126,32.88465023869312,33.874075406070496
1,57.81246667437016,41.976198708573634,37.08381586509102,37.73507313180804,37.13873275198052,34.47849595739397,35.902539914192616
2,77.88538762969452,71.90486585584591,50.111809535873334,55.34413076156101,67.76041154581692,57.0157133702411,56.68814727945759
3,65.43402287073319,75.87817586026105,52.108136539989,73.02226588876472,69.12494748251046,51.183463592648934,49.973754644722554
4,62.326943826057565,68.60595015039046,38.56196354410465,51.881873939008244,63.26091199063258,49.55121381505676,51.42364772427324
5,52.948436209953364,57.03372444051988,36.51995721488697,47.508253230329366,54.12544792732613,43.23682118032173,46.41282651810964
6,46.35388963281021,47.336498730649296,36.10461755233596,39.09768294214104,47.91141243544824,38.843857117015276,44.11629102623176
7,43.216420977744974,39.39195159220729,35.85230913978494,35.010907238560684,43.3152340864275,34.918750196565966,40.53404124863959
8,36.97624877715128,34.25097588233671,36.92785683747566,33.814317576009664,39.07977002312104,31.640071847545222,37.044648613904556
9,51.714306703126006,31.91625017246613,31.124974690190985,29.659394580125323,37.62644881695745,33.622107784238764,35.28739883631239
10,45.501047817671115,30.842238748309832,28.332227298360205,35.23825828007914,36.66598834094644,30.90146514950374,33.18729191586308
11,41.81528893221621,29.053941609867824,28.682975584851707,31.027141793943315,39.53702551479701,32.14689394334014,32.969327852556624
12,43.26849395227162,40.24421589999724,30.17449202972026,32.14151741697956,44.91129686127425,35.44678702289083,36.21564950353588
13,45.03892580048168,54.62377590441237,53.395354497812214,40.41295338936319,59.92268323558081,47.864537245298656,57.36430151165799
14,44.86551227585153,59.99262162311322,63.56543150192787,43.32724650460396,59.39440665379584,50.13943032484934,53.389551734065826
15,39.164753390396626,48.78289591324263,58.233959077844894,44.81653961984473,54.711946398541485,45.246466261542885,59.11480195647365
16,34.498161171608395,42.42674163194349,51.72841685890867,45.334537711573624,52.18698614328713,43.48921648395072,53.88648075031006
17,34.37573561948683,44.77415877921577,48.30362376554947,41.99488957596949,46.832008881230045,44.21053813492997,51.03315954414645
18,33.77914340069861,40.45014735505947,43.545670715829175,39.65269064249969,43.09704369255383,42.124716928766375,43.41198119512571
19,30.38671784857704,31.808278788046028,37.369983189172814,33.43812439636856,40.442756568789584,38.14603857974563,40.21580284610497
20,27.918458963122145,28.373553078175444,34.39006019328847,29.703398686497973,34.85857618346257,33.5316459450106,38.02676735422709
21,26.91853341100058,27.813827368304864,33.64763719740412,29.15081583377025,31.064354281644086,32.056539024561296,36.20201757663492
22,27.977774525545684,28.050530229862854,33.43290024254913,29.694661552471096,30.611560951254173,32.37786067554055,35.559410656185605
23,37.35909897342412,29.458661662849416,35.100291205635436,30.138507271171942,32.883053335149974,32.58846804080552,36.29537516430772
